_id,system,file,start,end,constraint_text,poorly_written,context,sentence,operands,constraint_type,discourse_pattern,filter
637efb0ca907ec96a46a9877,rhino-1.6R5,ECMA-262-3.txt,122308,122311,NaN;,null,"The operator ToBoolean converts its argument to a value of type Boolean according to the following table:
  ...
  Number | The result is false if the argument is +0, −0, or NaN; otherwise the result is true.","Number The result is false if the argument is +0, −0, or NaN; otherwise the result is true.",null,value-comparison,null,null
637efb0ca907ec96a46a9878,rhino-1.6R5,ECMA-262-3.txt,122073,122082,Undefined,null,"The operator ToBoolean converts its argument to a value of type Boolean according to the following table:
  ...
  Undefined | false","Input Type Result
  Undefined false
  Null false
  Boolean The result equals the input argument (no conversion).",null,value-comparison,null,null
637efb0ca907ec96a46a9879,rhino-1.6R5,ECMA-262-3.txt,122738,122747,Undefined,null,"The operator ToNumber converts its argument to a value of type Number according to the following table:
  ...
  Undefined | NaN","Input Type Result
  Undefined NaN
  Null +0
  Boolean The result is 1 if the argument is true.",null,value-comparison,null,null
637efb0ca907ec96a46a987a,rhino-1.6R5,ECMA-262-3.txt,122851,122871,the argument is true.,null,"The operator ToNumber converts its argument to a value of type Number according to the following table:
  ...
  The result is 1 if the argument is true. The result is +0 if the argument is false.","Input Type Result
  Undefined NaN
  Null +0
  Boolean The result is 1 if the argument is true.",null,binary-value,null,null
637efb0ca907ec96a46a987b,rhino-1.6R5,ECMA-262-3.txt,131800,131816,"Result(1) is NaN,",null,"The operator ToInteger converts its argument to an integral numeric value. This operator functions as
  follows:
  ...
  2. If Result(1) is NaN, return +0.","If Result(1) is NaN, return +0.",null,binary-value,null,null
637efb0ca907ec96a46a987c,rhino-1.6R5,ECMA-262-3.txt,131868,131870,#ERROR!,null,"The operator ToInteger converts its argument to an integral numeric value. This operator functions as
  follows:
  ...
  3. If Result(1) is +0, −0, +∞, or −∞, return Result(1).","If Result(1) is +0, −0, +∞, or −∞, return Result(1).",null,value-comparison,null,null
637efb0ca907ec96a46a987d,rhino-1.6R5,ECMA-262-3.txt,132276,132277,"0,",null,"The operator ToInt32 converts its argument to one of 2 32 integer values in the range −2 31 through 231−1,
  inclusive. This operator functions as follows:
  ...
  2. If Result(1) is NaN, +0, −0, +∞, or −∞, return +0.","If Result(1) is NaN, +0, −0, +∞, or −∞, return +0.",null,value-comparison,null,null
637efb0ca907ec96a46a987e,rhino-1.6R5,ECMA-262-3.txt,135408,135417,Undefined,null,"The operator ToString converts its argument to a value of type String according to the following table:
  ...
  Undefined | ""undefined""","Input Type Result
  Undefined ""undefined""
  Null ""null""
  Boolean If the argument is true, then the result is ""true"".",null,value-comparison,null,null
637efb0ca907ec96a46a987f,rhino-1.6R5,ECMA-262-3.txt,136351,136370,"m is less than zero,",null,"The operator ToString converts its argument to a value of type String according to the following table:
  ...
  3. If m is less than zero, return the string concatenation of the string ""-"" and ToString(−m).","If m is less than zero, return the string concatenation of the string ""-"" and ToString(−m).",null,value-comparison,null,null
637efb0ca907ec96a46a9880,rhino-1.6R5,ECMA-262-3.txt,66137,66151,Reserved words,null,Reserved words cannot be used as identifiers.,"7.5.1 Reserved Words
  Description
  Reserved words cannot be used as identifiers.",null,categorical-value,null,null
637efb0ca907ec96a46a9881,rhino-1.6R5,ECMA-262-3.txt,67319,67972,abstract enum int short boolean export interface static byte extends long super char final native synchronized class float package throws const goto private transient debugger implements protected volatile double import public,null,The following words are used as keywords in proposed extensions and are therefore reserved to allow for the possibility of future adoption of those extensions.,null,null,categorical-value,null,null
637efb0ca907ec96a46a9882,rhino-1.6R5,ECMA-262-3.txt,78638,78645,"MV is 0,",null,If the MV is 0,"If the MV is 0, then the rounded value is +0; otherwise, the rounded value must be the
  number value for the MV (in the sense defined in 8.5), unless the literal is a DecimalLiteral and the
  literal has more than 20 significant digits, in which case the number value may be either the number
  value for the MV of a literal produced by replacing each significant digit after the 20th with a 0 digit or
  the number value for the MV of a literal produced by replacing each significant digit after the 20th with
  a 0 digit and then incrementing the literal at the 20th significant digit position.",null,value-comparison,null,null
637efb0ca907ec96a46a9883,rhino-1.6R5,ECMA-262-3.txt,78846,78889,"literal has more than 20 significant digits,",null,the literal has more than 20 significant digits,"If the MV is 0, then the rounded value is +0; otherwise, the rounded value must be the
  number value for the MV (in the sense defined in 8.5), unless the literal is a DecimalLiteral and the
  literal has more than 20 significant digits, in which case the number value may be either the number
  value for the MV of a literal produced by replacing each significant digit after the 20th with a 0 digit or
  the number value for the MV of a literal produced by replacing each significant digit after the 20th with
  a 0 digit and then incrementing the literal at the 20th significant digit position.",null,value-comparison,null,null
637efb0ca907ec96a46a9884,rhino-1.6R5,ECMA-262-3.txt,88819,88873,"call to new RegExp generates an error,",null,If the call to new RegExp generates an error,"If the call to new RegExp generates
  an error, an implementation may, at its discretion, either report the error immediately while scanning the
  program, or it may defer the error until the regular expression literal is evaluated in the course of
  program execution.",null,binary-value,null,null
637efb0ca907ec96a46a9885,rhino-1.6R5,ECMA-262-3.txt,90515,90619,"the parser is unable to parse the input token stream as a single complete ECMAScript Program,",null,"When, as the program is parsed from left to right, the end of the input stream of tokens is encountered and the parser is unable to parse the input token stream as a single complete ECMAScript Program, then a semicolon is automatically inserted at the end of the input stream.","• When, as the program is parsed from left to right, the end of the input stream of tokens is
  encountered and the parser is unable to parse the input token stream as a single complete
  ECMAScript Program, then a semicolon is automatically inserted at the end of the input stream.",null,binary-value,null,null
637efb0ca907ec96a46a9886,rhino-1.6R5,ECMA-262-3.txt,90849,91048,"the production is a restricted production and the token would be the first token for a terminal or nonterminal immediately following the annotation ""[no LineTerminator here] """,null,"When, as the program is parsed from left to right, a token is encountered that is allowed by some production of the grammar, but the production is a restricted production and the token would be the first token for a terminal or nonterminal immediately following the annotation ""[no LineTerminator here]"" within the restricted production (and therefore such a token is called a restricted token), and the restricted token is separated from the previous token by at least one LineTerminator,","• When, as the program is parsed from left to right, a token is encountered that is allowed by some
  production of the grammar, but the production is a restricted production and the token would be the
  first token for a terminal or nonterminal immediately following the annotation “[no LineTerminator
  here] ” within the restricted production (and therefore such a token is called a restricted token), and
  the restricted token is separated from the previous token by at least one LineTerminator, then a
  semicolon is automatically inserted before the restricted token.",null,binary-value,null,null
637efb0ca907ec96a46a9887,rhino-1.6R5,ECMA-262-3.txt,92313,92344,a ++ or -- token is encountered,null,"When a ++ or -- token is encountered where the parser would treat it as a postfix operator, and at least one LineTerminator occurred between the preceding token and the ++ or – token","The practical effect of these restricted productions is as follows:
  • When a ++ or -- token is encountered where the parser would treat it as a postfix operator, and at
  least one LineTerminator occurred between the preceding token and the ++ or -- token, then a
  semicolon is automatically inserted before the ++ or -- token.",null,binary-value,null,null
637efb0ca907ec96a46a9888,rhino-1.6R5,ECMA-262-3.txt,92604,92637,"continue, break, return, or throw",null,"When a continue, break, return, or throw token is encountered and a LineTerminator is encountered before the next token","• When a continue, break, return, or throw token is encountered and a LineTerminator is
  encountered before the next token, a semicolon is automatically inserted after the continue,
  break, return, or throw token.",null,categorical-value,null,null
637efb0ca907ec96a46a9889,rhino-1.6R5,ECMA-262-3.txt,101845,101884,"two values of the set are equally close,",null,If two values of the set are equally close,"If two values of the set are equally close, then the one with an even significand is chosen; for this
  purpose, the two extra values 2 1024 and −2 1024 are considered to have even significands.",null,value-comparison,null,null
637efb0ca907ec96a46a988a,rhino-1.6R5,ECMA-262-3.txt,102056,102082,"2 1024 was chosen,",null,"Finally, if 21024 was chosen","Finally, if 2 1024 was
  chosen, replace it with +∞; if −2 1024 was chosen, replace it with −∞; if +0 was chosen, replace it with −0 if
  and only if x is less than zero; any other chosen value is used unchanged.",null,value-comparison,null,null
637efb0ca907ec96a46a988b,rhino-1.6R5,ECMA-262-3.txt,102107,102125,"−2 1024 was chosen,",null,if −21024 was chosen,"Finally, if 2 1024 was
  chosen, replace it with +∞; if −2 1024 was chosen, replace it with −∞; if +0 was chosen, replace it with −0 if
  and only if x is less than zero; any other chosen value is used unchanged.",null,value-comparison,null,null
637efb0ca907ec96a46a988c,rhino-1.6R5,ECMA-262-3.txt,102208,102227,x is less than zero;,null,"if +0 was chosen, replace it with −0 if and only if x is less than zero","Finally, if 2 1024 was
  chosen, replace it with +∞; if −2 1024 was chosen, replace it with −∞; if +0 was chosen, replace it with −0 if
  and only if x is less than zero; any other chosen value is used unchanged.",null,value-comparison,null,null
637efb0ca907ec96a46a988d,rhino-1.6R5,ECMA-262-3.txt,110820,110857,"O doesn't have a property with name P,",null,If O doesn't have a property with name P,"If O doesn’t have a property with name P, go to step 4.",null,binary-value,null,null
637efb0ca907ec96a46a988e,rhino-1.6R5,ECMA-262-3.txt,111041,111067,"[[Prototype]] of O is null,",null,If the [[Prototype]] of O is null,"If the [[Prototype]] of O is null, return undefined.",null,binary-value,null,null
637efb0ca907ec96a46a988f,rhino-1.6R5,ECMA-262-3.txt,111407,111425,"Result(1) is false,",null,If Result(1) is false,"If Result(1) is false, return.",null,value-comparison,null,null
637efb0ca907ec96a46a9890,rhino-1.6R5,ECMA-262-3.txt,112063,112100,"O doesn't have a property with name P,",null,If O doesn't have a property with name P,"If O doesn’t have a property with name P, go to step 4.",null,binary-value,null,null
637efb0ca907ec96a46a9891,rhino-1.6R5,ECMA-262-3.txt,112558,112586,"O has a property with name P,",null,If O has a property with name P,"If O has a property with name P, return true.",null,binary-value,null,null
637efb0ca907ec96a46a9892,rhino-1.6R5,ECMA-262-3.txt,112933,112970,"O doesn't have a property with name P,",null,If O doesn't have a property with name P,"If O doesn’t have a property with name P, return true.",null,binary-value,null,null
637efb0ca907ec96a46a9893,rhino-1.6R5,ECMA-262-3.txt,114857,114908,"[[DefaultValue]] method of O is called with no hint,",null,When the [[DefaultValue]] method of O is called with no hint,"When the [[DefaultValue]] method of O is called with no hint, then it behaves as if the hint were
  Number, unless O is a Date object (see 15.9), in which case it behaves as if the hint were String.",null,binary-value,null,null
637efb0ca907ec96a46a9894,rhino-1.6R5,ECMA-262-3.txt,117836,117853,"Result(2) is null,",null,If Result(2) is null,"If Result(2) is null, go to step 6.",null,binary-value,null,null
637efb0ca907ec96a46a9895,rhino-1.6R5,ECMA-262-3.txt,122404,122453,argument is the empty string (its length is zero);,null,The result is false if the argument is the empty string (its length is zero),"String The result is false if the argument is the empty string (its length is zero); otherwise
  the result is true.",null,value-comparison,null,null
637efb0ca907ec96a46a9896,rhino-1.6R5,ECMA-262-3.txt,132632,132674,"Result(4) is greater than or equal to 2 31,",null,If Result(4) is greater than or equal to 2^31,"If Result(4) is greater than or equal to 2 31, return Result(4)− 2 32, otherwise return Result(4).",null,value-comparison,null,null
637efb0ca907ec96a46a9897,rhino-1.6R5,ECMA-262-3.txt,133372,133407,"Result(1) is NaN, +0, −0, +∞, or −∞,",null,"If Result(1) is NaN, +0, −0, +∞, or −∞","If Result(1) is NaN, +0, −0, +∞, or −∞, return +0.",null,value-comparison,null,null
637efb0ca907ec96a46a9898,rhino-1.6R5,ECMA-262-3.txt,135536,135552,"argument is true,",null,If the argument is true,"Input Type Result
  Undefined ""undefined""
  Null ""null""
  Boolean If the argument is true, then the result is ""true"".",null,value-comparison,null,null
637efb0ca907ec96a46a9899,rhino-1.6R5,ECMA-262-3.txt,136463,136476,"m is infinity,",null,If m is infinity,"If m is infinity, return the string ""Infinity"".",null,value-comparison,null,null
637efb0ca907ec96a46a989a,rhino-1.6R5,ECMA-262-3.txt,140602,140606,Null,null,Null | Throw a TypeError exception.,Null Throw a TypeError exception.,null,value-comparison,null,null
637efb0ca907ec96a46a989b,rhino-1.6R5,ECMA-262-3.txt,145094,145149,"fewer parameter values than there are formal parameters,",null,If the caller supplies fewer parameter values than there are formal parameters,"If
  the caller supplies fewer parameter values than there are formal parameters, the extra formal
  parameters have value undefined.",null,value-comparison,null,null
637efb0ca907ec96a46a989c,rhino-1.6R5,ECMA-262-3.txt,145218,145267,"two or more formal parameters share the same name,",null,If two or more formal parameters share the same name,"If two or more formal parameters share the same name, hence the
  same property, the corresponding property is given the value that was supplied for the last parameter
  with this name.",null,value-comparison,null,null
637efb0ca907ec96a46a989d,rhino-1.6R5,ECMA-262-3.txt,146487,146585,"there is already a property of the variable object with the name of a declared variable,",null,If there is already a property of the variable object with the name of a declared variable,"If there is
  already a property of the variable object with the name of a declared variable, the value of the
  property and its attributes are not changed.",null,binary-value,null,null
637efb0ca907ec96a46a989e,rhino-1.6R5,ECMA-262-3.txt,147710,147725,"there isn't one,",null,If there isn't one,"If there isn't one, go to step 5.",null,binary-value,null,null
637efb0ca907ec96a46a989f,rhino-1.6R5,ECMA-262-3.txt,147854,147871,"Result(2) is true,",null,If Result(2) is true,"If Result(2) is true, return a value of type Reference whose base object is Result(1) and whose
  property name is the Identifier.",null,value-comparison,null,null
637efb0ca907ec96a46a98a0,rhino-1.6R5,ECMA-262-3.txt,148595,148607,{ DontEnum }.,null,"Built-in objects such as Math, String, Date, parseInt, etc. These have attributes { DontEnum }",These have attributes { DontEnum }.,null,concrete-value,null,null
637efb0ca907ec96a46a98a1,rhino-1.6R5,ECMA-262-3.txt,149351,149365,{ DontDelete }.,null,The activation object is initialised with a property with name arguments and attributes { DontDelete },"The activation object is initialised with a property
  with name arguments and attributes { DontDelete }.",null,concrete-value,null,null
637efb0ca907ec96a46a98a2,rhino-1.6R5,ECMA-262-3.txt,150295,150350,value associated with an execution context is immutable.,null,The this value associated with an execution context is immutable,"The
  this value associated with an execution context is immutable.",null,immutable,null,null
637efb0ca907ec96a46a98a3,rhino-1.6R5,ECMA-262-3.txt,152891,152911,is the global object.,null,The this value is the global object,• The this value is the global object.,null,value-comparison,null,null
637efb0ca907ec96a46a98a4,rhino-1.6R5,ECMA-262-3.txt,153796,153825,is the same as the this value,null,The this value is the same as the this value of the calling context,• The this value is the same as the this value of the calling context.,null,value-comparison,null,null
637efb0ca907ec96a46a98a5,joda_time-2.10.3,field.html.txt,1609,1654,millisOfSecond____|_________0____|________999_,null,"The fields are explained in more detail below (for the GJChronology):
  ...
  millisOfSecond | 0 | 999","The fields are explained in more detail below (for the GJChronology):
  ______________________________________________________
  |Name______________|Min_value_(GJ)|Max_value_(GJ)|Notes|
  |millisOfSecond____|_________0____|________999___|_____|
  |millisOfDay_______|_________0____|___86_399_999_|_____|
  |secondOfMinute____|_________0____|_________59___|_____|
  |secondOfDay_______|_________0____|______86_399__|_____|
  |minuteOfHour______|_________0____|_________59___|_____|
  |minuteOfDay_______|_________0____|_______1439___|_____|
  |hourOfDay_________|_________0____|_________23___|_____|
  |hourOfHalfday_____|_________0____|_________11___|_____|
  |clockhourOfDay____|_________1____|_________24___|_____|
  |clockhourOfHalfday|_________1____|_________12___|_____|
  |halfdayOfDay______|______0_(AM)__|______1_(PM)__|_____|
  |dayOfWeek_________|___1_(Monday)_|___7_(Sunday)_|_____|
  |weekOfWeekyear____|_________1____|_________53___|_____|
  |weekyear__________|_-292_000_000_|__292_000_000_|_____|
  |dayOfMonth________|_________1____|_________31___|_____|
  |dayOfYear_________|_________1____|________366___|_____|
  |monthOfYear_______|__1_(January)_|12_(December)_|_____|
  |year______________|_-292_000_000_|__292_000_000_|_____|
  |yearOfCentury_____|_________1____|________100___|_[1]_|
  |yearOfEra_________|_________1____|__292_000_000_|_____|
  |centuryOfEra______|_________1____|___2_920_000__|_[2]_|
  |era_______________|___0_(BC/BCE)_|___1_(AD/CE)__|_____|",null,value-comparison,null,table
637efb0ca907ec96a46a98a6,joda_time-2.10.3,field.html.txt,2236,2283,dayOfWeek_________|___1_(Monday)_|___7_(Sunday)_,null,"The fields are explained in more detail below (for the GJChronology):
  ...
  dayOfWeek | 1 (Monday) | 7 (Sunday)","The fields are explained in more detail below (for the GJChronology):
  ______________________________________________________
  |Name______________|Min_value_(GJ)|Max_value_(GJ)|Notes|
  |millisOfSecond____|_________0____|________999___|_____|
  |millisOfDay_______|_________0____|___86_399_999_|_____|
  |secondOfMinute____|_________0____|_________59___|_____|
  |secondOfDay_______|_________0____|______86_399__|_____|
  |minuteOfHour______|_________0____|_________59___|_____|
  |minuteOfDay_______|_________0____|_______1439___|_____|
  |hourOfDay_________|_________0____|_________23___|_____|
  |hourOfHalfday_____|_________0____|_________11___|_____|
  |clockhourOfDay____|_________1____|_________24___|_____|
  |clockhourOfHalfday|_________1____|_________12___|_____|
  |halfdayOfDay______|______0_(AM)__|______1_(PM)__|_____|
  |dayOfWeek_________|___1_(Monday)_|___7_(Sunday)_|_____|
  |weekOfWeekyear____|_________1____|_________53___|_____|
  |weekyear__________|_-292_000_000_|__292_000_000_|_____|
  |dayOfMonth________|_________1____|_________31___|_____|
  |dayOfYear_________|_________1____|________366___|_____|
  |monthOfYear_______|__1_(January)_|12_(December)_|_____|
  |year______________|_-292_000_000_|__292_000_000_|_____|
  |yearOfCentury_____|_________1____|________100___|_[1]_|
  |yearOfEra_________|_________1____|__292_000_000_|_____|
  |centuryOfEra______|_________1____|___2_920_000__|_[2]_|
  |era_______________|___0_(BC/BCE)_|___1_(AD/CE)__|_____|",null,categorical-value,null,table
63a0caaab194bde6b17a9b0c,guava-28.0,ServiceExplained.md.txt,7134,7160,all services are `RUNNING`,well-written,null,[`isHealthy()`] returns `true` if all services are `RUNNING`.,"all services, 'RUNNING'",binary-value,null,null
63a0caaab194bde6b17a9b07,guava-28.0,RangesExplained.md.txt,3583,3669,"`BoundType` for the
  corresponding endpoint, which can be either `CLOSED` or `OPEN`",well-written,null,"[`lowerBoundType()`] and [`upperBoundType()`] return the `BoundType` for the
  corresponding endpoint, which can be either `CLOSED` or `OPEN`.","BoundType', 'CLOSED', 'OPEN'",categorical-value,null,null
637efb0ca907ec96a46a9b06,jabref-5.0,en__setup__bibtexkeypatterns.md,2654,2675,two authors,well-written,"* **\[`auth.etal`\]**: The last name of the first author, and the last name of the second author if there are two authors or "".etal"" if there are more than two.
  * **\[`authEtAl`\]**: The last name of the first author, and","**\[`auth.etal`\]**: The last name of the first author, and the last name of the second author if there are two authors or “.etal” if there are more than two.","authors, 2",value-comparison,CD_NP,null
